"pid","Date","NewRank","VS","Result","Tournament_Name"
"TamashaSmash",17646,1995.26612497757,"AZURE","Loss","SupportPriority3, Version 2"
"AQT",17646,2239.02509769131,"Kavi","Win","SupportPriority3, Version 2"
"Kavi",17646,2067.07490874354,"AQT","Loss","SupportPriority3, Version 2"
"Nathan Pineapple",17646,2233.2012132496,"AZURE","Win","SupportPriority3, Version 2"
"AZURE",17646,2094.83363070132,"Nathan Pineapple","Loss","SupportPriority3, Version 2"
"Qphex",17646,2284.10505026803,"Gatts","Win","SupportPriority3, Version 2"
"Gatts",17646,1960.88448670292,"Qphex","Loss","SupportPriority3, Version 2"
"Cyronna",17646,2251.88199560565,"Ro","Win","SupportPriority3, Version 2"
"Ro",17646,2142.13359268063,"Cyronna","Loss","SupportPriority3, Version 2"
"Pferschaw",17646,2224.12156588989,"Kudaketa","Win","SupportPriority3, Version 2"
"Kudaketa",17646,2081.18147493013,"Pferschaw","Loss","SupportPriority3, Version 2"
"Dylan",17646,2309.35550614032,"Enigma","Win","SupportPriority3, Version 2"
"Enigma",17646,1996.15055998584,"Dylan","Loss","SupportPriority3, Version 2"
"Kila",17646,2381.3538489508,"JC","Win","SupportPriority3, Version 2"
"JC",17646,1975.45440613718,"Kila","Loss","SupportPriority3, Version 2"
"Sweets",17646,2320.94994113912,"Wriggle","Win","SupportPriority3, Version 2"
"Wriggle",17646,1863.77587617279,"Sweets","Loss","SupportPriority3, Version 2"
"AQT",17646,2319.64598036107,"Nathan Pineapple","Win","SupportPriority3, Version 2"
"Nathan Pineapple",17646,2167.89063337979,"AQT","Loss","SupportPriority3, Version 2"
"Qphex",17646,2358.53126345086,"Cyronna","Win","SupportPriority3, Version 2"
"Cyronna",17646,2157.19864727879,"Qphex","Loss","SupportPriority3, Version 2"
"Dylan",17646,2358.9689299511,"Pferschaw","Win","SupportPriority3, Version 2"
"Pferschaw",17646,2143.85746293656,"Dylan","Loss","SupportPriority3, Version 2"
"Kila",17646,2429.60238472946,"Sweets","Win","SupportPriority3, Version 2"
"Sweets",17646,2242.76224123598,"Kila","Loss","SupportPriority3, Version 2"
"AQT",17646,2387.50942681436,"MD4","Win","SupportPriority3, Version 2"
"MD4",17646,2243.22269006872,"AQT","Loss","SupportPriority3, Version 2"
"Qphex",17646,2438.02586327528,"Pokalink","Win","SupportPriority3, Version 2"
"Pokalink",17646,2320.97529266974,"Qphex","Loss","SupportPriority3, Version 2"
"Dylan",17646,2405.80726011937,"Gyromight","Win","SupportPriority3, Version 2"
"Gyromight",17646,2218.97059159956,"Dylan","Loss","SupportPriority3, Version 2"
"Mika",17646,2490.10534381376,"Kila","Win","SupportPriority3, Version 2"
"Kila",17646,2375.27069450784,"Mika","Loss","SupportPriority3, Version 2"
"Qphex",17646,2493.75140084503,"AQT","Win","SupportPriority3, Version 2"
"AQT",17646,2333.80679377867,"Qphex","Loss","SupportPriority3, Version 2"
"Mika",17646,2534.50633001785,"Dylan","Win","SupportPriority3, Version 2"
"Dylan",17646,2363.18025853819,"Mika","Loss","SupportPriority3, Version 2"
"Duwang",17646,2580.80013919438,"Qphex","Win","SupportPriority3, Version 2"
"Qphex",17646,2442.24318453516,"Duwang","Loss","SupportPriority3, Version 2"
"Mika",17646,2579.73259589745,"Slow Dancer","Win","SupportPriority3, Version 2"
"Slow Dancer",17646,2445.06788914916,"Mika","Loss","SupportPriority3, Version 2"
"Mika",17646,2624.92289110613,"Duwang","Win","SupportPriority3, Version 2"
"Duwang",17646,2526.68863383359,"Mika","Loss","SupportPriority3, Version 2"
"Mika",17646,2667.92977741068,"Pokepen","Win","SupportPriority3, Version 2"
"Pokepen",17646,2590.14094728614,"Mika","Loss","SupportPriority3, Version 2"
"Pandarian",17646,2893.88851038256,"Mika","Win","SupportPriority3, Version 2"
"Mika",17646,2647.37246260119,"Pandarian","Loss","SupportPriority3, Version 2"
